name,dong,lon,lat,in,out
칠곡대백맨션앞,태전1동,128.53998833333333,35.932381666666664,3562.0,9093.0
칠곡대백맨션건너,관음동,128.54000166666668,35.93321500000001,51071.0,591.0
한국도로공사건너,관음동,128.54132333333334,35.93643,1026.0,6009.0
한국도로공사앞,관음동,128.5408975,35.936154983333346,66380.0,960.0
칠곡한라타운앞,관음동,128.54179833333333,35.938905,320.0,6072.0
칠곡한라타운건너,관음동,128.54161333333334,35.93957833333333,48536.0,1939.0
관음변전소2,관음동,128.54249833333333,35.942466666666654,321.0,5312.0
관음변전소1,관음동,128.54214,35.942186666666665,69015.0,3285.0
칠곡우방타운앞(종점),읍내동,128.54751000000002,35.947741666666666,45534.0,1966.0
칠곡서한맨션앞,관음동,128.54481166666667,35.93378333333333,1937.0,7626.0
칠곡한신아파트앞1,태전1동,128.543905,35.933733333333336,142059.0,9072.0
칠곡롯데아파트건너,관음동,128.54153666666667,35.934,704.0,3592.0
칠곡롯데아파트앞,태전1동,128.541795,35.93384666666667,94146.0,3088.0
대구은행칠곡지점앞,관음동,128.54894833333336,35.936475,252916.0,70628.0
칠곡중학교앞(칠곡향교앞),읍내동,128.55145356666665,35.94757465,108301.0,6465.0
노원네거리(대구은행건너),침산1동,128.57931000000002,35.90024166666667,7076.0,1849.0
노원네거리4(기업은행),침산1동,128.57916843333334,35.89844991666667,5092.0,6448.0
침산동화타운앞,침산1동,128.57825499999998,35.895591666666654,4830.0,9231.0
침산코오롱하늘채건너,침산2동,128.59753999999998,35.88534,100050.0,24091.0
침산코오롱하늘채앞,침산2동,128.59744895,35.88554676666667,285635.0,51627.0
침산네거리1,침산2동,128.593395,35.88776499999999,141130.0,20482.0
침산네거리2,침산2동,128.593375,35.88783499999999,92484.0,27419.0
침산중학교앞,침산3동,128.58795285,35.88899638333333,73141.0,4877.0
침산중학교건너,침산3동,128.58775,35.888945,33699.0,6241.0
고성지구대1,칠성동,128.58900333333335,35.87933666666667,8753.0,5784.0
고성지구대2,고성동,128.58885999999998,35.879461666666664,28426.0,25201.0
칠성휴먼시아건너,칠성동,128.58967073333332,35.87870068333333,11360.0,12635.0
DGB대구은행파크동편건너,칠성동,128.58964201666666,35.88124846666665,41403.0,44347.0
DGB대구은행파크동편앞,고성동,128.58926913333335,35.880971433333336,28910.0,4521.0
오페라삼정그린코아APT,칠성동,128.59070526666665,35.884654916666676,196672.0,49563.0
이마트칠성점앞,칠성동,128.59037145000002,35.88455521666667,283705.0,25753.0
침산초등학교앞,침산3동,128.58510166666667,35.89037166666667,10625.0,11511.0
침산초등학교건너,침산3동,128.58566833333333,35.890616666666666,63310.0,15232.0
북구보건소앞,침산3동,128.58718166666668,35.891023333333344,112051.0,4543.0
북구보건소건너,침산3동,128.58805166666667,35.89128833333333,46091.0,18009.0
침산3동행정복지센터,침산3동,128.58992066666667,35.89133143333333,140209.0,12231.0
