name,address
엔제리너스 대구수변공원점,대구 달서구 월곡로 8
엔제리너스 대구인터불고점,대구 북구 유통단지로 80
엔제리너스 대구지산점,대구 수성구 지범로 173
엔제리너스 롯데시네대구율하점,대구 동구 안심로 80 4층
엔제리너스 롯데시네대구성서점,대구 달서구 성서로 414 4층 414호
엔제리너스 대구메트로팔레스점,대구 수성구 동원로 123 상가 222-105
엔제리너스 롯데백대구점,대구 북구 태평로 161 7층
엔제리너스 롯데백대구상인점,대구 달서구 월배로 232 7층
엔제리너스 대구아울렛율하점,대구 동구 안심로 80 2층
엔제리너스 대구공항동편점,대구 동구 공항로 221
엔제리너스 대구롯데이시아폴리스T/O점,대구 동구 팔공로49길 16 2층
엔제리너스 대구롯데이시아폴리스점,대구 동구 팔공로49길 16 3층
엔제리너스 대구공항서편점,대구 동구 공항로 221
엔제리너스 대구공항국제선점,대구 동구 공항로 221
탐앤탐스커버리 동성로점,대구 중구 동성로2길 35 2~4층
탐앤탐스 대구강북점,대구 북구 칠곡중앙대로 326 1~3층
탐앤탐스 대구범어그랜드점,대구 수성구 동대구로59길 16 1.2층
탐앤탐스 대구신월성점,대구 달서구 조암로 13
탐앤탐스 대구성서점,대구 달서구 달구벌대로251안길 6 1층
탐앤탐스 대구수성못호반점,대구 수성구 용학로 45 2.3층
탐앤탐스 대구들안길점,대구 수성구 들안로 10 1.2층
탐앤탐스 대구호산점,대구 달서구 성서공단로15길 70 1층
탐앤탐스 롯데시네마프리미엄만경관점,대구 중구 국채보상로 547 4층
탐앤탐스 대구엘디스호텔점,대구 중구 달구벌대로 2033 1층
탐앤탐스 대구계명대학교점,"대구 달서구 계대동문로 11-1 1,2층"
탐앤탐스 동대구KTX역사점,대구 동구 동대구로 550 1층
탐앤탐스 현풍휴게소현풍방향점,대구 달성군 현풍읍 성하길 48
탐앤탐스 현풍휴게소대구방향점,대구 달성군 현풍읍 비슬로 741
커피베이 대구서부법원점,대구 달서구 달구벌대로291길 71-23 1층
커피베이 대구감삼점,대구 달서구 달구벌대로 1530 삼정브리시티상가 301동 1층 102호
커피베이 대구엑스코점,대구 북구 유통단지로8길 111 1층
커피베이 대구들안길점,대구 수성구 들안로 193
커피베이 대구각산점,대구 동구 반야월북로 136 1층
커피베이 경북대북문점,대구 북구 대학로23길 11-1
커피베이 대구테크노폴리스점,대구 달성군 유가읍 테크노순환로12길 3
달콤커피 대구두류공원점,대구 달서구 두류공원로 242 1층
